Date,Clics,Impressions,CTR,Position
2025-11-11,249,13266,1.88%,10.4
2025-11-12,254,13898,1.83%,9.1
2025-11-13,291,13324,2.18%,8.9
2025-11-14,247,12498,1.98%,9.7
2025-11-15,190,10337,1.84%,9.3
2025-11-16,225,11011,2.04%,9.2
2025-11-17,256,13715,1.87%,8.9
2025-11-18,270,13443,2.01%,9.7
2025-11-19,260,12968,2%,9.3
2025-11-20,233,12366,1.88%,9.8
2025-11-21,217,11086,1.96%,11.1
2025-11-22,155,10116,1.53%,11.5
2025-11-23,190,10821,1.76%,10.7
2025-11-24,261,13214,1.98%,9
2025-11-25,237,13021,1.82%,9.6
2025-11-26,242,12400,1.95%,9.5
2025-11-27,264,12389,2.13%,9.8
2025-11-28,214,11728,1.82%,12.5
2025-11-29,142,8958,1.59%,11.2
2025-11-30,175,10263,1.71%,10.5
2025-12-01,264,12992,2.03%,9.1
2025-12-02,268,12663,2.12%,10
2025-12-03,262,12251,2.14%,9.3
2025-12-04,243,12327,1.97%,10.1
2025-12-05,193,11440,1.69%,12.6
2025-12-06,135,8735,1.55%,10.5
2025-12-07,168,9358,1.8%,10.5
2025-12-08,261,13010,2.01%,9.2
2025-12-09,254,13554,1.87%,10.9
2025-12-10,270,14995,1.8%,13
2025-12-11,220,11914,1.85%,10.1
2025-12-12,171,13353,1.28%,15.4
2025-12-13,142,9705,1.46%,13.5
2025-12-14,146,9727,1.5%,10.6
2025-12-15,238,14722,1.62%,12.1
2025-12-16,237,13410,1.77%,10.4
2025-12-17,222,11878,1.87%,9.1
2025-12-18,201,12261,1.64%,10.9
2025-12-19,162,11099,1.46%,12.9
2025-12-20,141,8734,1.61%,11.4
2025-12-21,161,9812,1.64%,12.3
2025-12-22,235,11438,2.05%,10.5
2025-12-23,199,10816,1.84%,12.1
2025-12-24,106,7736,1.37%,13.1
2025-12-25,109,7326,1.49%,13.2
2025-12-26,160,9844,1.63%,11.1
2025-12-27,170,9175,1.85%,10.2
2025-12-28,207,9381,2.21%,10.1
2025-12-29,236,11253,2.1%,9.6
2025-12-30,186,10648,1.75%,10.1
2025-12-31,133,7777,1.71%,10.9
2026-01-01,122,8413,1.45%,12.8
2026-01-02,201,10357,1.94%,11.5
2026-01-03,159,9609,1.65%,10.7
2026-01-04,187,10199,1.83%,10.1
2026-01-05,254,13116,1.94%,9.5
2026-01-06,279,12736,2.19%,9
2026-01-07,273,13730,1.99%,10.4
2026-01-08,287,13154,2.18%,9.5
2026-01-09,261,14450,1.81%,11.6
2026-01-10,202,12655,1.6%,12.9
2026-01-11,253,11819,2.14%,9.8
2026-01-12,328,14821,2.21%,8.9
2026-01-13,321,14773,2.17%,8.7
2026-01-14,273,14686,1.86%,8.9
2026-01-15,297,13894,2.14%,9
2026-01-16,256,13539,1.89%,10.8
2026-01-17,196,11045,1.77%,10.8
2026-01-18,238,11630,2.05%,9.7
2026-01-19,355,16845,2.11%,12.5
2026-01-20,312,15014,2.08%,9.6
2026-01-21,289,15722,1.84%,10.6
2026-01-22,306,15323,2%,10.1
2026-01-23,248,13691,1.81%,10.9
2026-01-24,186,11415,1.63%,11.4
2026-01-25,234,11579,2.02%,9.8
2026-01-26,366,16612,2.2%,10.4
2026-01-27,321,14862,2.16%,9.9
2026-01-28,271,14186,1.91%,9
